単勝,4,"2,410",8
複勝,4 13 12,620 160 470,9 2 6
枠連,3 - 8,380,1
馬連,4 - 13,"4,890",18
ワイド,4 - 13 4 - 12 12 - 13,"1,440 4,230 1,270",14 46 12
