
1,3,5,イスラボニータ,牡3,56,蛯名正義,2:11.7,,**,4-6-6-6,35.4,1.4,1,474(+6),,,,[東] 栗田博憲,社台レースホース,"5,334.4"
2,8,16,トゥザワールド,牡3,56,川田将雅,2:11.9,1.1/4,**,3-3-3-2,35.8,4.3,2,518(+2),,,,[西] 池江泰寿,キャロットファーム,"2,138.4"
3,7,14,タガノグランパ,牡3,56,菱田裕二,2:11.9,クビ,**,9-7-8-8,35.3,49.6,10,480(+2),,,,[西] 松田博資,八木良司,"1,319.2"
4,5,10,ステファノス,牡3,56,三浦皇成,2:11.9,ハナ,**,13-12-12-13,35.0,24.9,5,472(0),,,,[西] 藤原英昭,キャロットファーム,780.0
5,1,1,ラングレー,牡3,56,エスポジ,2:12.1,1.1/4,**,7-7-6-6,35.7,44.8,9,482(+8),,,,[西] 矢作芳人,サンデーレーシング,520.0
6,8,18,メイクアップ,牡3,56,松岡正海,2:12.2,1/2,**,13-14-12-10,35.3,108.2,11,470(0),,,,[西] 谷潔,岡浩二,
7,2,3,ダイワリベラル,牡3,56,丸山元気,2:12.4,1,**,11-12-8-10,35.7,151.3,13,512(+2),,,,[東] 菊沢隆徳,大城敬三,
8,2,4,ショウナンラグーン,牡3,56,吉田豊,2:12.4,ハナ,**,16-16-15-15,35.2,31.7,7,482(+6),,,,[東] 大久保洋,国本哲秀,
9,3,6,マイネルフロスト,牡3,56,柴田大知,2:12.4,アタマ,**,11-11-8-8,35.8,26.4,6,486(+2),,,,[東] 高木登,サラブレッドクラブ・ラフィアン,
10,7,13,ワールドインパクト,牡3,56,横山典弘,2:12.5,1/2,**,18-18-18-18,34.9,21.6,4,488(-12),,,,[西] 友道康夫,シルクレーシング,
11,7,15,デルカイザー,牡3,56,柴田善臣,2:12.5,アタマ,**,7-9-12-13,35.6,161.9,15,472(0),,,,[東] 藤沢和雄,山本英俊,
11,8,17,クラリティシチー,牡3,56,柴山雄一,2:12.5,同着,**,4-4-4-4,36.3,39.8,8,484(+10),,,,[東] 上原博之,友駿ホースクラブ,
13,4,7,サトノフェラーリ,牡3,56,北村宏司,2:12.5,クビ,**,9-9-8-12,35.8,15.9,3,464(-2),,,,[東] 藤沢和雄,里見治,
14,6,11,サングラス,牡3,56,古川吉洋,2:12.8,1.3/4,**,1-1-1-1,37.1,209.4,17,488(-4),,,,[西] 谷潔,玉置潔,
15,1,2,エアアンセム,牡3,56,松田大作,2:12.8,ハナ,**,15-15-15-16,35.6,117.1,12,468(-20),,,,[東] 伊藤正徳,ラッキーフィールド,
16,5,9,ヨッヘイ,牡3,56,大野拓弥,2:13.2,2.1/2,**,16-17-17-17,35.8,191.5,16,482(+8),,,,[東] 岩戸孝樹,芳賀克也,
17,6,12,アルテ,牡3,56,津村明秀,2:13.7,3,**,4-4-4-4,37.5,294.6,18,450(-2),,,,[西] 北出成人,フジワラ・ファーム,
18,4,8,オウケンブラック,牡3,56,田辺裕信,2:14.3,3.1/2,**,2-2-2-2,38.3,151.7,14,470(+18),,,,[東] 田中剛,福井明,
