
1,7,14,テイエムオーシャン,牝4,56,本田優,1:59.5,,,4-4-3-3,34.5,5.1,2,478(+38),,,,[西] 西浦勝一,竹園正繼,"6,513.4"
2,2,3,トウカイポイント,セ6,56,勝浦正樹,1:59.7,1.1/2,,11-10-13-11,34.2,34.2,10,448(-8),,,,[東] 後藤由之,内村正則,"2,632.4"
3,4,7,コイントス,牡4,56,岡部幸雄,1:59.8,1/2,,5-5-5-5,34.7,4.6,1,524(-10),,,,[東] 藤沢和雄,臼田浩義,"1,616.2"
4,8,15,アドマイヤドン,牡3,53,藤田伸二,1:59.8,ハナ,,5-5-6-5,34.6,6.1,3,460(+20),,,,[西] 松田博資,近藤利一,960.0
5,4,8,ヒマラヤンブルー,牡4,56,四位洋文,2:00.0,1,,2-2-2-2,35.6,10.1,8,446(0),,,,[西] 伊藤雄二,杉岡弘,640.0
6,5,9,キングフィデリア,牡4,56,幸英明,2:00.1,クビ,,3-3-3-3,35.2,10.0,7,482(+8),,,,[西] 武田博,加藤守,
7,6,11,ゴーステディ,牡5,56,吉田豊,2:00.1,アタマ,,1-1-1-1,36.0,95.6,14,506(-4),,,,[東] 大久保洋,臼田浩義,
8,6,12,イーグルカフェ,牡5,57,田中勝春,2:00.2,1/2,,12-15-14-12,34.6,9.6,5,464(0),,,,[東] 小島太,西川清,
9,2,4,バンブーマリアッチ,牡7,56,小林徹弥,2:00.5,1.3/4,,12-14-14-14,34.8,63.4,12,446(-2),,,,[西] 梅内忍,バンブー牧場,
10,1,2,カリスマサンオペラ,牝5,54,中舘英二,2:00.7,1.1/4,,12-12-8-12,35.3,175.4,15,468(-4),,,,[西] 崎山博樹,畔柳年言,
11,8,16,トップコマンダー,牡5,56,菊沢隆徳,2:00.7,クビ,,9-10-8-7,35.4,9.6,6,458(0),,,,[西] 崎山博樹,ジョイ・レースホース,
12,5,10,ニホンピロニール,牡5,56,蛯名正義,2:00.8,1/2,,7-7-6-7,35.6,8.8,4,494(+12),,,,[西] 伊藤雄二,小林百太郎,
13,1,1,ファストタテヤマ,牡3,53,安田康彦,2:01.0,1.1/2,,16-16-16-14,35.0,46.5,11,438(-10),,,,[西] 安田伊佐,辻幸雄,
14,3,6,タマモヒビキ,牡6,56,小原義之,2:01.1,3/4,,9-9-8-7,35.8,220.9,16,504(-6),,,,[西] 小原伊佐,タマモ,
15,7,13,アドマイヤロード,牡4,56,須貝尚介,2:01.2,1/2,,7-7-8-16,35.9,82.8,13,440(-2),,,,[西] 橋田満,近藤利一,
16,3,5,マチカネキンノホシ,牡6,57,千田輝彦,2:01.3,クビ,,12-12-8-7,36.0,13.9,9,546(+10),,,,[東] 藤沢和雄,細川益男,
