
1,8,12,レオリュウホウ,牡4,56,江田照男,2:17.9,,,1-2-2-2,36.4,37.5,10,482(0),,,,[東] 杉浦宏昭,レオ,"5,488.2"
2,3,3,ダイワスペリアー,牡4,56,菊沢隆徳,2:18.1,1.1/4,,3-4-4-4,36.3,4.1,2,464(+4),,,,[東] 二ノ宮敬,大和商事,"2,225.2"
3,1,1,シンコウシングラー,牡4,56,四位洋文,2:18.3,1.1/2,,11-11-11-11,36.0,13.2,7,454(+4),,,,[東] 栗田博憲,安田修,"1,412.6"
4,6,8,グランスクセー,牡4,56,池田鉄平,2:18.3,ハナ,,6-1-1-1,37.1,6.2,3,504(+4),,,,[東] 浅野洋一,佐伯一郎次,810.0
5,7,9,ワールドカップ,牡4,56,蛯名正義,2:18.5,1.1/2,,2-3-2-3,37.0,8.6,6,478(-2),,,,[東] 加藤修甫,渡邊隆,540.0
6,7,10,メジロランバート,牡4,56,吉田豊,2:18.6,1/2,,3-4-4-4,36.9,8.5,5,448(+12),,,,[東] 谷原義明,メジロ牧場,
7,2,2,ロードハイスピード,牡4,56,柴田大知,2:18.7,1/2,,6-7-8-4,36.8,27.3,9,502(+14),,,,[東] 高市圭二,ロードホースクラブ,
8,4,4,サクラナミキオー,牡4,56,横山典弘,2:19.4,4,,3-6-4-7,37.7,7.0,4,492(-2),,,,[東] 小島太,さくらコマース,
9,5,5,セイウンエリア,牡4,56,岡部幸雄,2:19.5,クビ,,9-9-8-9,37.5,51.0,11,522(+6),,,,[東] 前田禎,西山正行,
10,6,7,スノーボンバー,牡4,56,後藤浩輝,2:19.6,1/2,,6-7-4-7,37.9,92.1,12,478(+12),,,,[西] 森秀行,藤本龍也,
11,5,6,テイオージャ,牡4,56,柴田善臣,2:19.6,アタマ,,12-12-11-11,37.3,3.7,1,462(+2),,,,[東] 二ノ宮敬,高崎貞次,
12,8,11,ステージマックス,牡4,56,ロバーツ,2:19.7,1/2,,9-9-8-9,37.8,20.7,8,494(+4),,,,[東] 野平祐二,松下征弘,
