
1,3,6,ダイワワイルドボア,牡3,56,北村宏司,2:14.6,,**,7-7-7-3,35.1,18.5,9,526(-2),,,,[東] 上原博之,大城敬三,"5,537.2"
2,8,16,マイネルチャールズ,牡3,56,松岡正海,2:14.7,1/2,**,3-3-3-2,35.5,3.1,1,460(-6),,,,[東] 稲葉隆一,サラブレッドクラブ・ラフィアン,"2,239.2"
3,7,15,ノットアローン,牡3,56,蛯名正義,2:14.7,ハナ,**,5-5-4-3,35.4,11.5,5,464(0),,,,[西] 橋口弘次,金子真人ホールディングス,"1,419.6"
4,4,7,ダイバーシティ,牡3,56,横山典弘,2:14.8,1/2,**,11-12-10-7,35.0,9.3,4,452(+2),,,,[東] 小西一男,サンデーレーシング,810.0
5,2,4,ナリタダイコク,牡3,56,佐藤哲三,2:15.0,1.1/2,**,9-10-13-13,34.8,19.7,11,490(-6),,,,[西] 加藤敬二,オースミ,540.0
6,3,5,コンベンション,牡3,56,後藤浩輝,2:15.3,1.3/4,**,15-13-12-7,35.4,63.0,14,468(-8),,,,[東] 和田正道,ノースヒルズマネジメント,
7,1,2,キングスエンブレム,牡3,56,武豊,2:15.3,クビ,**,5-5-4-3,35.9,8.1,3,458(+6),,,,[西] 石坂正,サンデーレーシング,
8,6,12,フサイチアソート,牡3,56,村田一誠,2:15.4,クビ,**,9-9-7-7,35.9,16.2,8,444(-6),,,,[東] 岩戸孝樹,関口房朗,
9,8,18,タケミカヅチ,牡3,56,柴田善臣,2:15.5,3/4,**,11-10-10-11,35.7,14.0,7,498(0),,,,[東] 大江原哲,社台レースホース,
10,6,11,キングオブカルト,牡3,56,中舘英二,2:15.8,1.3/4,**,8-8-7-11,36.3,12.0,6,450(-8),,,,[西] 池江泰寿,ダノックス,
11,7,14,シルクマンハッタン,牡3,56,江田照男,2:15.9,3/4,**,2-2-2-3,36.9,60.6,13,502(+10),,,,[東] 境征勝,シルク,
12,2,3,ネオスピリッツ,牡3,56,田中勝春,2:16.4,3,**,1-1-1-1,37.5,19.6,10,472(0),,,,[東] 藤沢和雄,サンデーレーシング,
13,5,9,ロードニュースター,牡3,56,武幸四郎,2:16.6,1.1/4,**,16-16-15-15,35.1,21.5,12,474(-16),,,,[西] 浅見秀一,ロードホースクラブ,
14,8,17,クリスタルウイング,牡3,56,内田博幸,2:16.7,1/2,**,3-4-4-7,37.4,7.8,2,498(+14),,,,[東] 藤沢和雄,山本英俊,
15,5,10,アイティトップ,牡3,56,木幡初広,2:16.7,クビ,**,13-14-14-14,36.2,105.1,17,490(+6),,,,[東] 矢野照正,一ノ瀬恭,
16,7,13,ドットコム,牡3,56,吉田豊,2:16.9,1.1/2,**,13-15-16-16,35.2,140.1,18,478(0),,,,[東] 戸田博文,青山洋一,
中,1,1,リノーンリーズン,牡3,56,吉田隼人,,,**,,,82.3,16,486(-4),,,,[東] 鈴木伸尋,村中徳広,
中,4,8,フジヤマラムセス,牡3,56,柴山雄一,,,**,,,72.6,15,500(-4),,,,[東] 加藤征弘,藤本美也子,
