単勝,17,430,2
複勝,17 11 14,190 330 600,2 5 9
枠連,6 - 8,350,1
馬連,11 - 17,"2,380",8
ワイド,11 - 17 14 - 17 11 - 14,"980 1,840 3,160",7 18 34
馬単,17 → 11,"4,130",12
三連複,11 - 14 - 17,"17,680",56
三連単,17 → 11 → 14,"78,230",226
