単勝,13,300,1
複勝,13 2 8,150 200 220,1 4 5
枠連,2 - 8,"1,490",7
馬連,2 - 13,"1,580",4
ワイド,2 - 13 8 - 13 2 - 8,"540 450 1,060",4 2 15
馬単,13 → 2,"2,560",5
三連複,2 - 8 - 13,"3,590",11
三連単,13 → 2 → 8,"18,510",53
