単勝,14,"2,140",8
複勝,14 7 2,580 170 420,9 1 6
枠連,4 - 8,"1,680",7
馬連,7 - 14,"5,340",22
ワイド,7 - 14 2 - 14 2 - 7,"1,640 2,360 870",22 31 9
馬単,14 → 7,"15,940",55
三連複,2 - 7 - 14,"15,030",49
三連単,14 → 7 → 2,"122,900",347
