単勝,6,240,1
複勝,6 10 5,130 380 430,1 5 8
枠連,3 - 5,720,3
馬連,6 - 10,"1,610",4
ワイド,6 - 10 5 - 6 5 - 10,"840 770 3,590",9 6 40
馬単,6 → 10,"2,900",7
三連複,5 - 6 - 10,"9,560",30
三連単,6 → 10 → 5,"39,100",120
