
1,6,12,フェノーメノ,牡3,56,蛯名正義,2:10.8,,**,6-4-3-1,34.4,2.0,1,498(+8),,,,[東] 戸田博文,サンデーレーシング,"5,326.0"
2,1,2,スカイディグニティ,牡3,56,四位洋文,2:11.0,1,**,7-7-10-7,34.2,92.0,14,484(-6),,,,[西] 友道康夫,Ｇ１レーシング,"2,136.0"
3,8,15,ダノンジェラート,牡3,56,三浦皇成,2:11.3,1.3/4,**,10-9-6-5,34.7,9.7,4,476(-10),,,,[東] 萩原清,ダノックス,"1,318.0"
4,4,8,エタンダール,牡3,56,松岡正海,2:11.4,1/2,**,13-13-10-7,34.5,10.7,5,442(+6),,,,[西] 藤原英昭,広尾レース,780.0
5,7,14,ラニカイツヨシ,牡3,56,佐藤哲三,2:11.4,クビ,**,13-15-15-12,34.2,23.5,8,488(+10),,,,[西] 山内研二,横瀬兼二,520.0
6,3,6,エキストラエンド,牡3,56,田辺裕信,2:11.5,クビ,**,7-9-12-11,34.4,13.0,6,460(+2),,,,[西] 角居勝彦,社台レースホース,
7,4,7,クリールカイザー,牡3,56,吉田豊,2:11.5,クビ,**,13-15-17-16,34.1,55.7,11,474(+4),,,,[東] 相沢郁,横山修二,
8,8,17,アーデント,牡3,56,北村宏司,2:11.6,クビ,**,3-3-3-5,35.1,36.5,9,460(0),,,,[東] 加藤征弘,キャロットファーム,
9,3,5,ニューダイナスティ,牡3,56,岩田康誠,2:11.9,1.3/4,**,1-1-1-2,35.8,6.6,2,470(0),,,,[西] 石坂正,サンデーレーシング,
10,2,4,フジマサエンペラー,牡3,56,柴田善臣,2:11.9,クビ,**,10-13-15-14,34.6,40.0,10,486(+2),,,,[東] 菊川正達,藤原正一,
11,1,1,ベストディール,牡3,56,内田博幸,2:12.0,クビ,**,12-11-12-12,35.0,8.5,3,478(+14),,,,[東] 国枝栄,社台レースホース,
12,2,3,カナロア,牡3,56,浜中俊,2:12.0,クビ,**,4-4-8-7,35.3,22.2,7,460(+4),,,,[西] 藤原英昭,金子真人ホールディングス,
12,5,10,ソルレヴァンテ,牡3,56,大野拓弥,2:12.0,同着,**,2-2-2-2,35.8,83.2,13,470(0),,,,[東] 池上昌弘,ヒダカ・ブリーダーズ・ユニオン,
14,7,13,サンレイレーザー,牡3,56,ピンナ,2:12.2,1.1/4,**,7-7-3-2,35.8,61.2,12,516(+4),,,,[西] 高橋義忠,永井啓弍,
15,5,9,アートサハラ,牡3,56,今野忠成,2:13.3,7,**,17-17-12-16,36.2,169.1,15,524(-10),,,,[地] 荒山勝徳,大典牧場,
16,6,11,ボーイフレンド,牡3,56,藤田伸二,2:13.5,1.1/2,**,4-4-6-7,36.9,251.3,16,430(0),,,,[西] 森秀行,北村和江,
17,8,16,コスモワイルド,牡3,56,柴田大知,2:13.6,クビ,**,13-11-8-14,36.9,387.5,17,442(-9),,,,[地] 河津裕昭,ビッグレッドファーム,
