単勝,9,"6,780",12
複勝,9 5 4,"1,440 290 620",12 4 7
枠連,3 - 5,"5,820",22
馬連,5 - 9,"18,410",48
ワイド,5 - 9 4 - 9 4 - 5,"4,600 9,120 2,460",47 67 26
馬単,9 → 5,"48,820",106
三連複,4 - 5 - 9,"74,370",162
三連単,9 → 5 → 4,"516,010",943
