
1,4,4,シャコーテスコ,牡4,56,蛯沢誠治,2:16.9,,,5-5-3-4,36.2,11.7,5,476(+4),,,,[東] 野平祐二,シャコー,"5,486.8"
2,6,7,ダイワオーシュウ,牡4,56,的場均,2:17.0,3/4,,7-8-7-6,36.1,3.3,2,446(-6),,,,[東] 二ノ宮敬,大和商事,"2,224.8"
3,5,5,エアガッツ,牡4,56,柴田大知,2:17.1,3/4,,2-2-2-2,36.7,2.4,1,480(+10),,,,[東] 栗田博憲,ラッキーフィールド,"1,412.4"
4,5,6,トキオエクセレント,牡4,56,大塚栄三,2:17.3,1.1/4,,5-6-3-6,36.7,9.8,4,458(+2),,,,[東] 高橋裕,吉田勝己,810.0
5,6,8,タービュランス,牡4,56,坂井千明,2:17.6,1.3/4,,11-11-11-8,36.5,23.8,9,520(+2),,,,[東] 加藤修甫,伊達秀和,540.0
6,2,2,ウエスタンアンカー,牡4,56,高橋明,2:17.7,3/4,,3-3-3-3,37.1,319.3,12,446(+8),,,,[東] 柴田政人,西川,
7,8,11,インターパンチ,牡4,56,小野次郎,2:17.8,クビ,,3-3-3-4,37.2,19.5,7,480(+6),,,,[東] 高松邦男,松岡正雄,
8,7,9,ニッポーアトラス,牡4,56,岡部幸雄,2:18.1,2,,7-6-7-10,37.2,7.3,3,516(0),,,,[東] 久保田敏,エヌ・アール・ユー,
9,8,12,ビゼンスバル,牡4,56,蛯名正義,2:18.2,クビ,,9-8-7-8,37.3,20.0,8,452(+6),,,,[東] 高橋裕,ひるせん,
10,7,10,ノーブルレイジ,牡4,56,橋本広喜,2:18.3,3/4,,11-11-11-12,37.1,201.6,11,468(-2),,,,[東] 蛯名信広,横山秀男,
11,3,3,ショウナンアクティ,牡4,56,吉田豊,2:18.7,2.1/2,,10-10-7-10,37.7,17.1,6,452(0),,,,[東] 大久保洋,国本哲秀,
12,1,1,タヤスアストラル,牡4,56,勝浦正樹,2:19.3,3.1/2,,1-1-1-1,39.2,74.3,10,428(+6),,,,[東] 久恒久夫,横瀬寛一,
