単勝,11,"2,180",6
複勝,11 2 14,400 170 140,6 3 1
枠連,1 - 6,"1,580",5
馬連,2 - 11,"4,970",15
ワイド,2 - 11 11 - 14 2 - 14,"1,800 1,340 400",20 13 2
馬単,11 → 2,"13,980",46
三連複,2 - 11 - 14,"5,250",10
三連単,11 → 2 → 14,"56,160",154
