単勝,14,510,2
複勝,14 3 7,220 720 160,3 10 1
枠連,2 - 7,"6,480",24
馬連,3 - 14,"15,980",41
ワイド,3 - 14 7 - 14 3 - 7,"4,440 600 2,540",45 2 35
馬単,14 → 3,"21,850",76
三連複,3 - 7 - 14,"23,010",78
