
1,5,9,トーセンシャナオー,牡3,56,イネス,2:13.1,,**,2-2-2-2,36.0,67.8,12,438(-20),,,,[西] 森秀行,島川隆哉,"5,524.6"
2,3,5,トウショウシロッコ,牡3,56,吉田豊,2:13.3,1.1/2,**,5-5-9-3,35.9,11.3,4,462(-2),,,,[東] 大久保洋,トウショウ産業,"2,235.6"
3,2,4,ミストラルクルーズ,牡3,56,藤田伸二,2:13.4,1/2,**,10-9-14-8,35.8,28.5,7,490(+4),,,,[東] 鈴木康弘,サンデーレーシング,"1,417.8"
4,2,3,テンシノゴールド,牡3,56,中舘英二,2:13.4,クビ,**,15-15-15-12,35.6,40.0,9,452(-2),,,,[西] 橋口弘次,杉谷枡夫,810.0
5,1,2,キストゥヘヴン,牝3,54,安藤勝己,2:13.5,クビ,**,8-7-10-12,36.0,11.8,5,442(+20),,,,[東] 戸田博文,吉田和子,540.0
6,7,13,フサイチジャンク,牡3,56,岩田康誠,2:13.5,ハナ,**,13-13-10-8,36.0,2.4,1,480(0),,,,[西] 池江泰寿,関口房朗,
7,6,12,トロフィーディール,牡3,56,田中勝春,2:13.6,1/2,**,10-9-6-6,36.3,55.3,11,452(-4),,,,[西] 森秀行,青山洋一,
8,4,7,ニシノアンサー,牡3,56,菊沢隆徳,2:13.6,ハナ,**,1-1-1-1,36.8,141.8,14,472(+6),,,,[東] 奥平真治,西山茂行,
9,7,14,インテレット,牡3,56,後藤浩輝,2:13.6,クビ,**,5-7-2-3,36.5,12.2,6,478(+4),,,,[東] 萩原清,キャロットファーム,
10,8,17,ミレニアムウイング,牡3,56,横山典弘,2:14.0,2.1/2,**,2-2-2-3,37.0,4.2,2,480(+2),,,,[東] 藤沢和雄,山本英俊,
11,8,16,パッシングマーク,牡3,56,武幸四郎,2:14.2,1.1/2,**,13-13-10-8,36.7,45.4,10,478(+6),,,,[西] 浅見秀一,社台レースホース,
12,1,1,ダイワバゼラード,牡3,56,北村宏司,2:14.3,1/2,**,17-17-15-15,36.5,194.4,15,468(-16),,,,[東] 上原博之,大城敬三,
13,3,6,ユキノアサカゼ,牡3,56,小野次郎,2:14.4,1/2,**,5-5-2-6,37.3,200.4,16,506(-8),,,,[東] 根本康広,馬場幸廣,
14,5,10,ニシノフリーダム,牡3,56,柴田善臣,2:14.5,1/2,**,15-16-15-12,36.7,36.3,8,532(+4),,,,[東] 鈴木伸尋,西山茂行,
15,8,15,マイネルハイアップ,牡3,56,吉田隼人,2:14.8,2,**,2-4-6-8,37.5,224.2,17,470(-8),,,,[東] 堀宣行,サラブレッドクラブ・ラフィアン,
中,4,8,ネヴァブション,牡3,56,石橋脩,,,**,10-12-10,,80.8,13,474(+10),,,,[東] 伊藤正徳,ティーエイチ,
中,6,11,マツリダゴッホ,牡3,56,蛯名正義,,,**,8-9-6,,6.2,3,470(-4),,,,[東] 国枝栄,高橋文枝,
