単勝,5,"1,030",5
複勝,5 8 6,280 140 160,5 1 2
枠連,3 - 4,560,1
馬連,5 - 8,"1,860",7
ワイド,5 - 8 5 - 6 6 - 8,720 910 360,6 10 1
