
1,8,13,マーベラスサンデー,牡5,58,武豊,2:01.6,,,6-5-4-3,35.6,1.5,1,484(0),,,,[西] 大沢真,笹原貞生,"4,150.4"
2,5,7,マイヨジョンヌ,牡7,56,坂井千明,2:01.6,クビ,,11-11-14-9,35.1,8.7,4,474(0),,,,[東] 畠山重則,柴原榮,"1,614.4"
3,8,14,ダイタクサージャン,牡5,55,小原義之,2:01.8,1.1/2,,11-11-10-6,35.5,29.5,7,466(+2),,,,[西] 梅田康雄,中村和子,"1,007.2"
4,3,3,メジロスズマル,セ6,54,田面木博,2:02.1,1.3/4,,1-1-1-1,36.4,15.3,5,468(+6),,,,[西] 大久保正,メジロ牧場,620.0
5,4,5,タマモハイウェイ,牡7,54,山田泰誠,2:02.2,3/4,,6-5-7-6,36.1,19.1,6,472(+4),,,,[西] 吉永忍,タマモ,410.0
6,1,1,ホウエイコスモス,牡6,49,菊地昇吾,2:02.2,クビ,,4-4-4-3,36.2,379.1,14,440(-2),,,,[西] 柴田不二,佐橋五十雄,
7,3,4,フェアダンス,牝5,54,田中勝春,2:02.4,1.1/4,,14-14-10-11,36.0,7.2,2,464(+4),,,,[西] 武宏平,原口輝昭,
8,7,12,キオイスマート,セ7,52,鹿戸雄一,2:02.5,1/2,,10-10-10-11,36.2,149.8,12,486(-6),,,,[東] 石栗龍雄,大谷和彦,
9,2,2,ノースサンデー,牝4,51,四位洋文,2:02.5,ハナ,,2-2-2-2,36.6,8.2,3,454(+6),,,,[西] 松田博資,服部文男,
10,4,6,ポジー,牝7,52,北沢伸也,2:02.5,ハナ,,13-11-10-11,36.2,40.0,8,492(+12),,,,[西] 荻野光男,キャロットファーム,
11,7,11,スーパープレイ,牡7,54,横山賀一,2:03.0,3,,5-5-4-3,37.0,63.1,10,454(-4),,,,[西] 橋本寿正,内田滋三,
12,6,10,エーピーグランプリ,牡7,53,安田康彦,2:03.4,2.1/2,,2-2-2-6,37.5,264.9,13,444(0),,,,[西] 武田博,デルマークラブ,
13,5,8,ライブリマウント,牡6,57,石橋守,2:03.4,クビ,,8-8-7-11,37.2,42.1,9,512(0),,,,[西] 柴田不二,加藤哲郎,
14,6,9,ホマレオーカン,牡7,50,菊沢隆徳,2:03.6,1,,8-8-7-9,37.5,141.9,11,470(+2),,,,[東] 柄崎孝,グリーンテック,
