単勝,1,980,5
複勝,1 8 9,"370 1,230 220",5 13 3
枠連,1 - 4,"7,320",29
馬連,1 - 8,"20,390",57
ワイド,1 - 8 1 - 9 8 - 9,"6,170 1,210 5,370",62 12 55
馬単,1 → 8,"35,370",102
三連複,1 - 8 - 9,"49,530",145
三連単,1 → 8 → 9,"332,290",879
