単勝,2,580,2
複勝,2 6 7,130 190 100,2 5 1
枠連,2 - 6,"3,530",10
馬連,2 - 6,"3,480",11
ワイド,2 - 6 2 - 7 6 - 7,480 150 280,6 1 3
