単勝,3,"2,820",7
複勝,3 11 4,470 110 300,7 1 4
枠連,2 - 6,590,2
馬連,3 - 11,"1,600",6
ワイド,3 - 11 3 - 4 4 - 11,"700 1,880 440",6 19 3
馬単,3 → 11,"6,060",19
三連複,3 - 4 - 11,"4,050",11
三連単,3 → 11 → 4,"37,460",105
