
1,7,13,クォークスター,牡3,56,藤岡佑介,2:10.9,,**,16-16-16-10,34.0,6.4,4,500(+4),,,,[東] 堀宣行,社台レースホース,"5,520.4"
2,8,15,ヤマニンエルブ,牡3,56,柴山雄一,2:10.9,クビ,**,1-1-1-1,37.0,6.4,3,458(-2),,,,[西] 村山明,土井肇,"2,234.4"
3,1,2,アロマカフェ,牡3,56,武豊,2:11.0,3/4,**,2-4-5-4,35.1,4.4,2,468(+12),,,,[東] 小島太,西川光一,"1,417.2"
4,5,10,ゲームマエストロ,牡3,56,田中勝春,2:11.1,クビ,**,14-14-13-14,34.4,40.6,11,472(-12),,,,[東] 宗像義忠,薗部博之,810.0
5,6,12,ダークシャドウ,牡3,56,四位洋文,2:11.2,1/2,**,9-9-8-7,35.0,10.5,6,498(-8),,,,[東] 堀宣行,飯塚知一,540.0
6,2,4,ミッションモード,牡3,56,北村宏司,2:11.3,3/4,**,9-9-11-10,34.9,20.6,8,476(+4),,,,[東] 藤沢和雄,山本英俊,
7,8,16,ヤングアットハート,牡3,56,藤田伸二,2:11.4,3/4,**,12-12-11-10,34.9,43.0,12,480(-6),,,,[東] 松山康久,社台レースホース,
8,1,1,ナイスミーチュー,牡3,56,三浦皇成,2:11.6,1,**,6-8-8-7,35.4,32.8,10,486(+8),,,,[西] 橋口弘次,ダノックス,
9,4,8,ミキノバンジョー,牡3,56,太宰啓介,2:11.8,1.1/4,**,5-4-2-2,36.1,14.7,7,500(-2),,,,[西] 大橋勇樹,谷口久和,
10,4,7,ベストアンサー,牡3,56,吉田隼人,2:12.0,1.1/4,**,14-14-16-15,35.0,51.1,13,456(+2),,,,[東] 戸田博文,青山洋一,
11,6,11,シャイニンアーサー,牡3,56,横山典弘,2:12.2,1.1/4,**,12-12-14-15,35.4,31.1,9,484(+4),,,,[東] 藤沢和雄,市川義美,
12,3,5,フェイルノート,牡3,56,松岡正海,2:12.2,クビ,**,6-6-5-4,36.3,9.8,5,508(-8),,,,[東] 和田正道,キャロットファーム,
13,5,9,ファーストグロース,牡3,56,吉田豊,2:12.2,ハナ,**,9-9-8-7,36.1,179.8,15,476(-4),,,,[東] 大久保洋,臼田浩義,
14,2,3,ゲシュタルト,牡3,56,池添謙一,2:12.8,3.1/2,**,2-3-2-2,37.1,4.0,1,488(+2),,,,[西] 長浜博之,畑佐博,
15,3,6,シルクスチュアート,牡3,56,村田一誠,2:12.8,アタマ,**,6-6-5-6,36.9,96.5,14,482(+6),,,,[東] 奥平雅士,シルク,
16,7,14,ガナール,牡3,56,戸崎圭太,2:13.6,5,**,17-17-14-17,36.8,346.9,17,488(0),,,,[地] 荒山勝徳,伊達泰明,
17,8,17,コスモヘレノス,牡3,56,丹内祐次,2:14.4,5,**,2-2-2-10,38.7,200.1,16,502(+4),,,,[東] 菊川正達,ビッグレッドファーム,
