単勝,12,200,1
複勝,12 2 15,"130 1,140 270",1 14 4
枠連,1 - 6,880,4
馬連,2 - 12,"9,100",30
ワイド,2 - 12 12 - 15 2 - 15,"2,350 470 8,700",28 3 72
馬単,12 → 2,"11,880",41
三連複,2 - 12 - 15,"26,910",84
三連単,12 → 2 → 15,"137,500",380
