単勝,7,290,1
複勝,7 1 11,"150 140 1,060",2 1 15
枠連,1 - 4,460,1
馬連,1 - 7,520,1
ワイド,1 - 7 7 - 11 1 - 11,"280 3,640 3,790",1 49 50
馬単,7 → 1,980,1
三連複,1 - 7 - 11,"14,700",42
三連単,7 → 1 → 11,"45,120",103
