
1,6,9,サンエイサンキュー,牝4,52,田原成貴,2:00.2,,,9-9-5-1,36.7,7.3,4,432(+6),,,,[東] 佐藤勝美,岩崎喜好,"4,100.0"
2,7,12,ニックテイオー,牡6,53,河内洋,2:00.6,2.1/2,,12-11-9-4,36.9,10.8,7,498(0),,,,[西] 浅見秀一,武勇,"1,600.0"
3,3,4,ヤマニンシアトル,牡6,56,南井克巳,2:00.7,1/2,,8-6-9-5,37.0,9.1,5,510(-6),,,,[西] 橋本寿正,土井薫,"1,000.0"
4,1,1,エーピージェット,牡4,53,的場均,2:01.2,3,,13-13-13-8,37.1,9.3,6,522(+12),,,,[東] 元石孝昭,デルマークラブ,620.0
5,6,10,インタースナイパー,牡6,52,岡部幸雄,2:01.7,3,,2-2-3-2,38.5,36.1,10,496(+4),,,,[東] 柄崎孝,松岡正雄,410.0
6,3,3,プレジデントシチー,牡10,55,本田優,2:01.9,1,,11-11-11-10,38.1,147.4,13,490(0),,,,[西] 中尾謙太,友駿ホースクラブ,
7,2,2,キングオブトラック,牡6,53,加藤和宏,2:02.0,3/4,,3-2-1-2,39.0,34.9,9,456(+2),,,,[東] 久恒久夫,岩本允,
8,5,7,ツルマイナス,牡7,56,柴田政人,2:02.3,1.3/4,,6-6-5-10,38.7,5.2,2,450(+4),,,,[東] 伊藤正徳,平岩詔次,
9,7,11,マルマツエース,牡5,57,安田富男,2:02.5,1.1/2,,9-9-5-6,39.0,3.4,1,540(+22),,,,[東] 仲住芳雄,松田敏雄,
10,8,14,マルセイグレート,牡7,56,小島太,2:02.9,2.1/2,,1-1-2-6,39.8,6.0,3,484(-2),,,,[西] 伊藤修司,村上義勝,
11,4,5,ナルシスノワール,牡7,58,村本善之,2:03.1,1.1/2,,3-4-5-8,39.6,13.5,8,482(-8),,,,[西] 福島信晴,粟田攻,
12,8,13,キックオフ,牡6,52,菅原隆明,2:03.3,1.1/4,,6-6-11-12,39.5,47.0,11,524(-4),,,,[東] 畠山重則,柴原榮,
13,4,6,ナエボオルフェ,牡6,52,岡潤一郎,2:04.0,4,,5-5-4-12,40.6,68.1,12,500(+6),,,,[西] 安藤正敏,岡田牧雄,
取,5,8,カゲマル,牡8,53,田面木博,,,,,,---,,計不,,,,[東] 高松邦男,古岡秀人,
