
1,4,7,ロックドゥカンブ,牡3,54,柴山雄一,2:12.0,,**,4-3-5-4,35.3,2.9,1,504(+12),,,,[東] 堀宣行,吉田和美,"5,531.6"
2,1,1,ゴールデンダリア,牡3,56,柴田善臣,2:12.2,1.1/4,**,14-16-13-14,35.0,3.2,2,468(+6),,,,[東] 二ノ宮敬,田中由子,"2,237.6"
3,6,11,スクリーンヒーロー,牡3,56,木幡初広,2:12.7,3,**,4-5-2-2,36.1,64.8,14,466(-2),,,,[東] 矢野進,吉田照哉,"1,418.8"
4,1,2,マイネルアナハイム,牡3,56,勝浦正樹,2:12.8,3/4,**,9-11-17-10,35.5,64.9,15,492(+4),,,,[東] 高橋裕,サラブレッドクラブ・ラフィアン,810.0
5,4,8,ガルヴァニック,牡3,56,秋山真一,2:12.8,クビ,**,14-13-9-10,35.8,17.8,6,476(-4),,,,[西] 松永幹夫,ノースヒルズマネジメント,540.0
6,8,16,サンワードブル,牡3,56,後藤浩輝,2:13.0,1.1/4,**,11-7-2-4,36.4,19.2,7,450(+6),,,,[東] 堀井雅広,古谷敏明,
7,7,14,シグナリオ,牡3,56,北村宏司,2:13.2,1,**,16-13-5-6,36.5,8.7,3,464(0),,,,[東] 手塚貴久,齊藤四方司,
8,2,3,マイネルダイナモ,牡3,56,長谷川浩,2:13.2,クビ,**,9-11-9-10,36.2,15.4,4,492(-4),,,,[西] 中村均,サラブレッドクラブ・ラフィアン,
9,8,15,リミットブレーカー,牡3,56,石橋脩,2:13.2,ハナ,**,11-7-5-6,36.5,91.5,16,502(-8),,,,[東] 上原博之,臼田浩義,
10,6,12,クランエンブレム,牡3,56,田中勝春,2:13.3,3/4,**,6-5-2-2,36.8,24.4,9,492(-4),,,,[東] 手塚貴久,サンデーレーシング,
11,7,13,マイネルグラナーテ,牡3,56,中舘英二,2:13.5,1,**,17-17-13-14,36.3,51.9,13,478(-8),,,,[東] 伊藤伸一,サラブレッドクラブ・ラフィアン,
12,5,9,デストラメンテ,牡3,56,小林淳一,2:13.5,クビ,**,6-7-9-6,36.6,32.4,11,452(-2),,,,[東] 清水美波,岡田牧雄,
13,2,4,エフティイカロス,牡3,56,蛯名正義,2:13.5,ハナ,**,11-13-5-9,36.8,23.2,8,456(-8),,,,[東] 矢野進,吉野文雄,
14,3,5,メイショウレガーロ,牡3,56,横山典弘,2:13.7,1.1/4,**,6-7-13-10,36.5,15.4,5,458(+6),,,,[東] 小島太,松本好雄,
15,3,6,アップルサイダー,牡3,56,吉田隼人,2:13.8,1/2,**,1-1-1-1,37.4,26.7,10,466(-8),,,,[東] 菅原泰夫,野崎宗信,
16,5,10,ナンヨーヘブン,牡3,56,吉田豊,2:14.1,2,**,3-3-9-16,37.1,42.0,12,466(+2),,,,[東] 小島茂之,中村徳也,
17,8,17,トップモンジュー,牡3,54,江田照男,2:20.2,大,**,2-2-13-17,43.1,124.7,17,438(+4),,,,[西] 森秀行,横瀬兼二,
