単勝,6,"1,850",9
複勝,6 16 15,460 150 360,10 1 6
枠連,3 - 8,"1,540",7
馬連,6 - 16,"3,190",7
ワイド,6 - 16 6 - 15 15 - 16,"1,220 2,690 770",8 42 5
馬単,6 → 16,"7,500",24
三連複,6 - 15 - 16,"10,320",23
三連単,6 → 16 → 15,"65,060",171
