単勝,2,510,3
複勝,2 5 9,200 350 220,3 7 4
枠連,2 - 4,"1,110",4
馬連,2 - 5,"4,600",21
ワイド,2 - 5 2 - 9 5 - 9,"1,250 690 1,420",18 6 22
馬単,2 → 5,"8,270",36
三連複,2 - 5 - 9,"9,160",31
