単勝,5,"1,240",4
複勝,5 4 3,220 110 150,3 1 2
枠連,3 - 4,550,2
馬連,4 - 5,960,3
ワイド,4 - 5 3 - 5 3 - 4,360 850 180,3 9 1
馬単,5 → 4,"3,180",11
三連複,3 - 4 - 5,"1,250",2
三連単,5 → 4 → 3,"10,590",26
